kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
18	16	500000	4	16	233	35840000	981
18	16	500000	4	16	233	44228608	1094
18	16	500000	4	16	233	44228608	986
18	16	500000	4	16	235	35840000	983
18	16	500000	4	16	233	35840000	1056
18	16	500000	4	16	234	44228608	978
18	16	500000	4	16	235	35840000	988
18	16	500000	4	16	233	35840000	984
18	16	500000	4	16	236	35840000	956
18	16	500000	4	16	234	35840000	1052
18	16	500000	4	16	233	44228608	985
18	16	500000	4	16	231	44228608	981
18	16	500000	4	16	233	35840000	991
18	16	500000	4	16	235	35840000	979
18	16	500000	4	16	234	44228608	1003
18	16	500000	4	16	231	44228608	973
18	16	500000	4	16	236	35840000	949
18	16	500000	4	16	233	44228608	993
18	16	500000	4	16	235	44228608	980
18	16	500000	4	16	231	44228608	978
18	16	500000	4	16	232	35840000	979
18	16	500000	4	16	233	44228608	980
18	16	500000	4	16	235	35840000	982
18	16	500000	4	16	235	35840000	986
18	16	500000	4	16	233	35840000	967
18	16	500000	4	16	233	44228608	975
18	16	500000	4	16	235	44228608	969
18	16	500000	4	16	235	35840000	960
18	16	500000	4	16	231	44228608	969
18	16	500000	4	16	233	35840000	965
18	17	500000	4	16	142	44228608	969
18	17	500000	4	16	144	44228608	943
18	17	500000	4	16	143	44228608	928
18	17	500000	4	16	142	44228608	910
18	17	500000	4	16	144	44228608	924
18	17	500000	4	16	145	44228608	936
18	17	500000	4	16	144	44228608	911
18	17	500000	4	16	143	52617216	922
18	17	500000	4	16	144	44228608	927
18	17	500000	4	16	143	44228608	942
18	17	500000	4	16	144	52617216	919
18	17	500000	4	16	143	44228608	928
18	17	500000	4	16	144	44228608	931
18	17	500000	4	16	143	44228608	923
18	17	500000	4	16	142	44228608	923
18	17	500000	4	16	143	44228608	957
18	17	500000	4	16	143	52617216	907
18	17	500000	4	16	144	44228608	939
18	17	500000	4	16	143	44228608	910
18	17	500000	4	16	143	44228608	892
18	17	500000	4	16	143	52617216	904
18	17	500000	4	16	142	44228608	981
18	17	500000	4	16	144	44228608	929
18	17	500000	4	16	142	52617216	934
18	17	500000	4	16	143	44228608	900
18	17	500000	4	16	143	44228608	936
18	17	500000	4	16	144	44228608	939
18	17	500000	4	16	143	44228608	887
18	17	500000	4	16	144	44228608	933
18	17	500000	4	16	144	44228608	934
18	18	500000	4	16	90	52617216	605
18	18	500000	4	16	90	52617216	608
18	18	500000	4	16	90	52617216	601
18	18	500000	4	16	90	52617216	600
18	18	500000	4	16	91	52617216	592
18	18	500000	4	16	90	52617216	586
18	18	500000	4	16	90	52617216	603
18	18	500000	4	16	90	52617216	599
18	18	500000	4	16	91	52617216	612
18	18	500000	4	16	90	52617216	582
18	18	500000	4	16	90	52617216	595
18	18	500000	4	16	91	52617216	601
18	18	500000	4	16	91	52617216	621
18	18	500000	4	16	90	52617216	598
18	18	500000	4	16	90	52617216	608
18	18	500000	4	16	91	52617216	606
18	18	500000	4	16	90	52617216	604
18	18	500000	4	16	90	52617216	578
18	18	500000	4	16	90	52617216	597
