kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
18	16	500000	4	16	230	35840000	1002
18	16	500000	4	16	235	44228608	990
18	16	500000	4	16	233	44228608	966
18	16	500000	4	16	234	35840000	967
18	16	500000	4	16	234	35840000	933
18	16	500000	4	16	232	44228608	958
18	16	500000	4	16	232	44228608	962
18	16	500000	4	16	234	35840000	954
18	16	500000	4	16	233	35840000	952
18	16	500000	4	16	235	44228608	976
18	16	500000	4	16	233	44228608	952
18	16	500000	4	16	231	35840000	971
18	16	500000	4	16	232	44228608	974
18	16	500000	4	16	233	44228608	944
18	16	500000	4	16	233	44228608	948
18	16	500000	4	16	232	44228608	977
18	16	500000	4	16	231	35840000	947
18	16	500000	4	16	234	44228608	960
18	16	500000	4	16	235	44228608	949
18	16	500000	4	16	233	44228608	985
18	16	500000	4	16	235	44228608	977
18	16	500000	4	16	233	44228608	978
18	16	500000	4	16	232	35840000	975
18	16	500000	4	16	232	35840000	969
18	16	500000	4	16	232	35840000	978
18	16	500000	4	16	232	44228608	996
18	16	500000	4	16	233	44228608	990
18	16	500000	4	16	233	44228608	970
18	16	500000	4	16	234	35840000	995
18	16	500000	4	16	233	44228608	989
18	17	500000	4	16	143	44228608	933
18	17	500000	4	16	143	44228608	933
18	17	500000	4	16	143	44228608	926
18	17	500000	4	16	143	44228608	925
18	17	500000	4	16	143	44228608	917
18	17	500000	4	16	143	44228608	934
18	17	500000	4	16	143	44228608	949
18	17	500000	4	16	143	44228608	924
18	17	500000	4	16	143	52617216	927
18	17	500000	4	16	145	44228608	948
18	17	500000	4	16	142	52617216	921
18	17	500000	4	16	143	52617216	923
18	17	500000	4	16	144	52617216	929
18	17	500000	4	16	143	44228608	939
18	17	500000	4	16	143	44228608	949
18	17	500000	4	16	144	44228608	942
18	17	500000	4	16	144	44228608	934
18	17	500000	4	16	144	44228608	925
18	17	500000	4	16	143	44228608	939
18	17	500000	4	16	143	44228608	925
18	17	500000	4	16	144	52617216	952
